prot	pheno	estimate	has_direction
PROG	PROK1	0.403197182084841	TRUE
17BES	CSF3	0.356200173592915	TRUE
17BES	TNFRSF13B	0.222017433480031	TRUE
17BES	CHRDL2	0.281158223872052	TRUE
CRLF1	17BES	0.246727289045176	FALSE
PROG	IGFBP2	-0.258356978729931	TRUE
17BES	PGF	0.268436883952485	TRUE
PROG	MMP10	-0.293021783893546	TRUE
PROG	CLSTN2	-0.234228032994083	TRUE
PROG	TNFSF10	-0.277160037556479	TRUE
GUSB	PROG	0.201612581912997	FALSE
LH	COL4A1	-0.156210807917989	TRUE
REN	LH	0.235672384015783	TRUE
PROG	TNFSF11	-0.226238317911397	TRUE
REN	PROG	0.255305873452979	TRUE
PROG	REN	0.255305873452979	TRUE
COL4A1	PROG	0.179405471099272	FALSE
PROK1	FSH	-0.209600376928497	FALSE
IGFBP6	17BES	0.179423820558911	FALSE
MMP10	17BES	-0.184326465643476	FALSE
PROK1	LH	-0.195020223265674	FALSE
PROG	RETN	0.169919975638202	TRUE
CANT1	PROG	0.248428056924015	FALSE
PGLYRP1	PROG	0.164298340279507	FALSE
REN	17BES	0.186168788996456	FALSE
NPPC	17BES	0.194178049100415	TRUE
CNDP1	PROG	0.150017829051043	FALSE
CD14	PROG	0.227839320707347	FALSE
PROG	CHIT1	0.083440646615	TRUE
GDF15	PROG	0.186057642243254	TRUE
COL4A1	PRL	0.158440525370191	FALSE
LAMA4	PRL	0.195387855288536	TRUE
CLSTN2	FSH	0.154841068147289	FALSE
CRLF1	PROG	0.187102417574518	TRUE
FETUB	PROG	0.198046366614424	FALSE
LH	TNFSF10	0.172404632263419	TRUE
ESAM	PRL	0.172748812163118	FALSE
PROK1	PRL	0.173008290941473	FALSE
PROG	FAS	-0.201990462814879	TRUE
17BES	MEPE	0.118183631287094	TRUE
FASLG	LH	0.134820368661092	FALSE
LH	TSHB	-0.136875956152809	TRUE
IGFBP7	PROG	-0.185555637100576	FALSE
FSH	PGLYRP1	-0.133443835155194	TRUE
CNDP1	LH	-0.103251502112946	FALSE
PROG	FASLG	-0.162103645685483	TRUE
GDF2	FSH	0.162206179927039	FALSE
TIMP1	PRL	0.182857551136116	FALSE
KLRD1	PROG	-0.162078071592364	FALSE
LCN2	PROG	0.158663729102052	TRUE
CXCL16	PRL	0.182039196599407	FALSE
BOC	PROG	-0.197444817337418	FALSE
CSTB	LH	-0.119900561471769	TRUE
NADK	PROG	0.182084886797263	FALSE
17BES	CST7	0.0939522120956278	TRUE
CGREF1	PRL	0.142380589947385	FALSE
CSTB	FSH	-0.135102546883041	FALSE
LH	CHRDL2	0.172668832738243	TRUE
17BES	GDF15	0.134914109020704	TRUE
B4GALT1	17BES	0.160048190941193	FALSE
PROG	TFPI	-0.164659736830953	TRUE
CCL11	PROG	-0.153521913931267	TRUE
PROG	CCL11	-0.153521913931267	TRUE
CLEC5A	PROG	0.157513387960156	FALSE
CSTB	PROG	0.145619730253666	FALSE
IGFBP1	PROG	-0.174843803351672	TRUE
ANGPTL4	LH	0.154026329149235	FALSE
ICA1	FSH	-0.140392802671671	FALSE
C1QA	LH	0.105951713183078	FALSE
COL6A3	17BES	0.125230424518074	FALSE
CST6	PRL	0.112320691481503	FALSE
SEMA3F	PRL	0.180012256333254	FALSE
PRTN3	17BES	0.122136960774976	FALSE
FASLG	FSH	0.129580652145621	FALSE
PSPN	LH	0.0914739699440288	TRUE
LH	PSPN	0.0914739699440288	TRUE
KLRD1	LH	0.113760366053756	FALSE
PILRB	PRL	0.0888152704993512	FALSE
EPO	17BES	0.0930022905507022	FALSE
PGF	LH	0.161831592021485	FALSE
OSM	17BES	0.1290564700804	FALSE
CD70	17BES	0.0915698480141424	FALSE
GDF2	LH	0.125146169098004	FALSE
PROG	SLC39A5	-0.125963431793606	TRUE
LH	SPON2	0.160945739596164	TRUE
CEACAM8	PROG	0.143932413539073	FALSE
BOC	LH	0.137398642040306	FALSE
TINAGL1	17BES	-0.123643736683294	FALSE
PROG	MSTN	-0.15028622547079	TRUE
PROG	KLRB1	-0.119926775611907	TRUE
CHRDL2	PROG	-0.163963020796435	TRUE
PROG	CHRDL2	-0.163963020796435	TRUE
17BES	PSPN	0.0832191253781698	TRUE
BOC	FSH	0.154095755061951	FALSE
FETUB	LH	-0.123219288293935	TRUE
LH	FETUB	-0.123219288293935	TRUE
