feature	type
PROK1	protein
CSF3	protein
TNFRSF13B	protein
CHRDL2	protein
CRLF1	protein
IGFBP2	protein
PGF	protein
MMP10	protein
CLSTN2	protein
TNFSF10	protein
GUSB	protein
COL4A1	protein
REN	protein
TNFSF11	protein
IGFBP6	protein
RETN	protein
CANT1	protein
PGLYRP1	protein
NPPC	protein
CNDP1	protein
CD14	protein
CHIT1	protein
GDF15	protein
LAMA4	protein
FETUB	protein
ESAM	protein
FAS	protein
MEPE	protein
FASLG	protein
TSHB	protein
IGFBP7	protein
GDF2	protein
TIMP1	protein
KLRD1	protein
LCN2	protein
CXCL16	protein
BOC	protein
CSTB	protein
NADK	protein
CST7	protein
CGREF1	protein
B4GALT1	protein
TFPI	protein
CCL11	protein
CLEC5A	protein
IGFBP1	protein
ANGPTL4	protein
ICA1	protein
C1QA	protein
COL6A3	protein
CST6	protein
SEMA3F	protein
PRTN3	protein
PSPN	protein
PILRB	protein
EPO	protein
OSM	protein
CD70	protein
SLC39A5	protein
SPON2	protein
CEACAM8	protein
TINAGL1	protein
MSTN	protein
KLRB1	protein
GZMA	protein
CCDC80	protein
FAM3C	protein
TNFRSF14	protein
EGLN1	protein
CRHBP	protein
PTPRF	protein
ESM1	protein
CD59	protein
IL17A	protein
BTN2A1	protein
BLMH	protein
QPCT	protein
MATN2	protein
FST	protein
PLAUR	protein
NELL2	protein
TLR3	protein
RNASE3	protein
AK1	protein
FCRL1	protein
EPHA1	protein
THPO	protein
PLXNB2	protein
CEBPB	protein
ENTPD6	protein
S100A11	protein
NECTIN2	protein
CCL16	protein
CKAP4	protein
ISM1	protein
CLC	protein
ENTPD5	protein
EGFR	protein
PROG	hormone
17BES	hormone
LH	hormone
FSH	hormone
PRL	hormone
ACY1	protein
ADH4	protein
AGXT	protein
GSTA1	protein
LDLR	protein
KYNU	protein
PLTP	protein
APOM	protein
AGRP	protein
DDC	protein
GPR37	protein
HSD11B1	protein
DCTPP1	protein
MEGF9	protein
THOP1	protein
FIS1	protein
PCSK9	protein
ERBB3	protein
FABP1	protein
MVK	protein
BPIFB1	protein
CA3	protein
SSC5D	protein
DNER	protein
SCGB3A2	protein
IL32	protein
CHI3L1	protein
CDON	protein
DKK3	protein
QDPR	protein
GAL	protein
ANPEP	protein
TREM2	protein
ADGRG2	protein
NRP1	protein
LEP	protein
GAS6	protein
ZBTB17	protein
FAP	protein
SSC4D	protein
ADAM15	protein
GH1	protein
ITGB2	protein
LRRN1	protein
CD4	protein
HYAL1	protein
TGFA	protein
MMP1	protein
CLEC4A	protein
PROC	protein
TYRO3	protein
MLN	protein
SIT1	protein
LILRB4	protein
CLUL1	protein
APLP1	protein
IL18	protein
GHRL	protein
SMPDL3A	protein
RARRES2	protein
CSF1	protein
IL6	protein
PRCP	protein
F7	protein
FGF19	protein
KYAT1	protein
SPP1	protein
SIRPB1	protein
ANG	protein
TIMP3	protein
TIA1	protein
FLT3LG	protein
AOC3	protein
DPT	protein
IL18BP	protein
CDHR5	protein
LHPP	protein
ENPP5	protein
CD83	protein
TNFRSF10C	protein
PON2	protein
CCL25	protein
CNST	protein
ALT	phenotype
AST	phenotype
TRI	phenotype
HDL	phenotype
COL	phenotype
HOMA_IR	phenotype
INS	phenotype
HOMA_B	phenotype
LDL	phenotype
GL	phenotype
