Assay	UniProt	MR_outcomes	Beta
ANGPTL4	Q9BY76	Apolipoprotein A1	-0.224
ANGPTL4	Q9BY76	Body fat percentage	-0.0352
ANGPTL4	Q9BY76	Concentration of chylomicrons and extremely large VLDL	0.375
ANGPTL4	Q9BY76	Coronary artery disease	0.298
ANGPTL4	Q9BY76	High density lipoprotein cholesterol levels	-0.361
ANGPTL4	Q9BY76	Non-HDL cholesterol levels	0.117
ANGPTL4	Q9BY76	Omega-3 fatty acids	0.13
ANGPTL4	Q9BY76	Phosphatidylcholines	-0.0883
ANGPTL4	Q9BY76	Saturated fatty acids	0.154
ANGPTL4	Q9BY76	Sphingomyelins	-0.221
ANGPTL4	Q9BY76	Total cholines	-0.111
ANGPTL4	Q9BY76	Triglycerides	0.397
ANGPTL4	Q9BY76	Type 2 diabetes	0.269
ANGPTL4	Q9BY76	Very low-density lipoprotein cholesterol	0.23
ANGPTL4	Q9BY76	WHR	0.0479
ANGPTL4	Q9BY76	Apolipoprotein A1	-0.417
ANGPTL4	Q9BY76	Body fat percentage	-0.0655
ANGPTL4	Q9BY76	Concentration of chylomicrons and extremely large VLDL	0.698
ANGPTL4	Q9BY76	Coronary artery disease	0.555
ANGPTL4	Q9BY76	High density lipoprotein cholesterol levels	-0.672
ANGPTL4	Q9BY76	Non-HDL cholesterol levels	0.218
ANGPTL4	Q9BY76	Omega-3 fatty acids	0.242
ANGPTL4	Q9BY76	Phosphatidylcholines	-0.164
ANGPTL4	Q9BY76	Saturated fatty acids	0.287
ANGPTL4	Q9BY76	Sphingomyelins	-0.411
ANGPTL4	Q9BY76	Total cholines	-0.206
ANGPTL4	Q9BY76	Triglycerides	0.74
ANGPTL4	Q9BY76	Type 2 diabetes	0.501
ANGPTL4	Q9BY76	Very low-density lipoprotein cholesterol	0.429
ANGPTL4	Q9BY76	WHR	0.0892
ANGPTL4	Q9BY76	Apolipoprotein A1	-0.408
ANGPTL4	Q9BY76	Concentration of chylomicrons and extremely large VLDL	0.683
ANGPTL4	Q9BY76	Coronary artery disease	0.543
ANGPTL4	Q9BY76	High density lipoprotein cholesterol levels	-0.658
ANGPTL4	Q9BY76	Non-HDL cholesterol levels	0.214
ANGPTL4	Q9BY76	Omega-3 fatty acids	0.237
ANGPTL4	Q9BY76	Phosphatidylcholines	-0.161
ANGPTL4	Q9BY76	Saturated fatty acids	0.281
ANGPTL4	Q9BY76	Sphingomyelins	-0.402
ANGPTL4	Q9BY76	Total cholines	-0.202
ANGPTL4	Q9BY76	Triglycerides	0.724
ANGPTL4	Q9BY76	Type 2 diabetes	0.49
ANGPTL4	Q9BY76	Very low-density lipoprotein cholesterol	0.42
ANGPTL4	Q9BY76	WHR	0.0873
B4GALT1	P15291	Height	0.027
B4GALT1	P15291	Low density lipoprotein cholesterol levels	0.02
B4GALT1	P15291	Non-HDL cholesterol levels	0.0266
B4GALT1	P15291	Total cholesterol levels	0.0184
B4GALT1	P15291	Type 1 diabetes	-0.131
B4GALT1	P15291	Urate	-0.0333
B4GALT1	P15291	Height	0.0578
B4GALT1	P15291	Low density lipoprotein cholesterol levels	0.0428
B4GALT1	P15291	Non-HDL cholesterol levels	0.057
B4GALT1	P15291	Total cholesterol levels	0.0393
B4GALT1	P15291	Type 1 diabetes	-0.28
B4GALT1	P15291	Urate	-0.0712
B4GALT1	P15291	Height	0.0413
